"I wouldn't need to leave my bones out to dry if I had an exoskeleton","201710100254","squawk_201710100254"
"hiring manager grins wryly\n<br><br>\n""what about..."", an ajustment of glasses hides his eyes in white light, ""...people skills?""\n<br><br>\nim stunned. sweating. ""p-p-please mister. no,""\n<br><br>\ngrining Grinchly, pushing me in rolly chair. ""Thank you for giving us the oppurtunity to review your skills and experience.""\n<br><br>\n""wait! onetimemyteam- ""\n<br><br>\nshattered window, falling","201710110054","squawk_201710110054"
"rain is relief","201710130619","squawk_201710130619"
"soups up broth","201710191452","squawk_201710191452"
"Soup is equality. Everything soaks up the broth, contributes to the broth.","201711011402","squawk_201711011402"
"my favorite prodverb ""fear not the wolf among sheep but the sheep in the lion""\n<br>\nanother: ""pray for family bullshit for bread""","201711150421","squawk_201711150421"
"glad there are people different from me. somebody has to be doing all the things that I am not doing.","201711240602","squawk_201711240602"
"Hogwarts but instead everyone is studying to be a hog","201712030447","squawk_201712030447"
"it takes me like 5 years of sweaty introspection and prayer to realize i am wrong","201712141906","squawk_201712141906"
"isn't it cool to imagine going to a new world and having no words for the things you would see?","201801121128","squawk_201801121128"
"That's totally nuts. That's totally bananas. That's totally peanut butter banana sandwiches. That's totally banana nut breads.","201803230318","squawk_201803230318"
"I'm not afraid of wasps. I let them into my home. I ask if they want anything to eat or drink. We'll play some Xbox. Never been stung","201803232045","squawk_201803232045"
"love it when my problem is thinking too much about thinking too much about my problems","201803241115","squawk_201803241115"
"A cool experiment would be to move the humans off of Earth for a couple thousand years","201803241232","squawk_201803241232"
"wish there was a really heavy fog in my house all the time","201804011507","squawk_201804011507"
"Why so much concern for the ozone if there are 25 other zones?","201804041628","squawk_201804041628"
"these days, just lookin like dog food smells","201804062054","squawk_201804062054"
"Bottled soup, soupery, craft soup, soup light","201804071410","squawk_201804071410"
"You're well rounded if you're not good at anything","201805091427","squawk_201805091427"
